"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Are you sure you want to disable the selected cron job(s)?"
"At %s","At %s"
"Callback","Callback"
"Clear History","Clear History"
"Close","Close"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server."
"Cron history has been cleared. %d record(s) deleted.","Cron history has been cleared. %d record(s) deleted."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" has been disabled."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" has been enabled."
"Cron Jobs","Cron Jobs"
"Daily","Daily"
"Daily at %s","Daily at %s"
"day %s","day %s"
"Disable","Disable"
"Disabled","Disabled"
"Enable","Enable"
"Enabled","Enabled"
"Every %d hours at minute %d","Every %d hours at minute %d"
"Every %d minutes","Every %d minutes"
"Every cron run","Every cron run"
"Every hour","Every hour"
"Every minute","Every minute"
"Execution History","Execution History"
"Failure History Lifetime","Failure History Lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate Schedules Every","Generate Schedules Every"
"History","History"
"History Cleanup Every","History Cleanup Every"
"hour %s","hour %s"
"Hourly","Hourly"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Job Code","Job Code"
"Last Run","Last Run"
"Last Status","Last Status"
"minute %s","minute %s"
"Missed","Missed"
"Missed if Not Run Within","Missed if Not Run Within"
"month %s","month %s"
"Monthly","Monthly"
"Monthly on day %d at %s","Monthly on day %d at %s"
"Next Run","Next Run"
"No callbacks found","No callbacks found"
"No execution history found.","No execution history found."
"No job code specified.","No job code specified."
"No schedule ID specified.","No schedule ID specified."
"Not scheduled","Not scheduled"
"Pending","Pending"
"Please select cron job(s).","Please select cron job(s)."
"Run Cron Job","Run Cron Job"
"Running","Running"
"Running...","Running..."
"Run Now","Run Now"
"Schedule","Schedule"
"Schedule Ahead for","Schedule Ahead for"
"Schedule not found.","Schedule not found."
"Success","Success"
"Success History Lifetime","Success History Lifetime"
"Too late for the schedule.","Too late for the schedule."
"Total of %d cron job(s) were disabled.","Total of %d cron job(s) were disabled."
"Total of %d cron job(s) were enabled.","Total of %d cron job(s) were enabled."
"Unable to save the cron expression.","Unable to save the cron expression."
"Unknown cron job: %s","Unknown cron job: %s"
"weekday %s","weekday %s"
"Weekly","Weekly"
"Weekly on %s at %s","Weekly on %s at %s"
