"-- None --","-- None --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled."
"Automatic (from Right of Withdrawal settings)","Automatic (from Right of Withdrawal settings)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor."
"Brand Attribute","Brand Attribute"
"Condition Attribute","Condition Attribute"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set."
"Customer Pays Return Shipping","Customer Pays Return Shipping"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Days between order and shipment. Both minimum and maximum are needed to emit handlingTime."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime."
"Do Not Emit","Do Not Emit"
"Enable Structured Data","Enable Structured Data"
"Finite Return Window","Finite Return Window"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings."
"Free Return","Free Return"
"GTIN Attribute","GTIN Attribute"
"Handling Time Maximum (days)","Handling Time Maximum (days)"
"Handling Time Minimum (days)","Handling Time Minimum (days)"
"Include Ratings & Reviews","Include Ratings & Reviews"
"Local Business","Local Business"
"MPN Attribute","MPN Attribute"
"Online Store","Online Store"
"Organization","Organization"
"Organization Type","Organization Type"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new."
"Product attribute holding the Manufacturer Part Number.","Product attribute holding the Manufacturer Part Number."
"Product attribute used for the schema.org ""brand"" property.","Product attribute used for the schema.org ""brand"" property."
"Product Schema","Product Schema"
"Return at Kiosk","Return at Kiosk"
"Return by Mail","Return by Mail"
"Return Countries","Return Countries"
"Return Fees","Return Fees"
"Return in Store","Return in Store"
"Return Method","Return Method"
"Return Policy","Return Policy"
"Return Policy Type","Return Policy Type"
"Returns Not Permitted","Returns Not Permitted"
"Return Window (days)","Return Window (days)"
"Shipping Details","Shipping Details"
"Shipping Rate","Shipping Rate"
"Structured Data (schema.org)","Structured Data (schema.org)"
"Transit Time Maximum (days)","Transit Time Maximum (days)"
"Transit Time Minimum (days)","Transit Time Minimum (days)"
"Unlimited Return Window","Unlimited Return Window"
