"Access denied.","Access denied."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable."
"Api Key confirmation must be same as Api Key.","Api Key confirmation must be same as Api Key."
"Api Key must be at least of %d characters.","Api Key must be at least of %d characters."
"Api Key must include both numeric and alphabetic characters.","Api Key must include both numeric and alphabetic characters."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Auth-token endpoint (per IP)","Auth-token endpoint (per IP)"
"Can not find webservice adapter.","Can not find webservice adapter."
"Client Session Timeout (sec.)","Client Session Timeout (sec.)"
"Customer login","Customer login"
"Default Response Charset","Default Response Charset"
"Email","Email"
"Enable WSDL Cache","Enable WSDL Cache"
"First Name is required field.","First Name is required field."
"General Settings","General Settings"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Last Name is required field.","Last Name is required field."
"Maho Core API","Maho Core API"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable."
"Please enter a valid email.","Please enter a valid email."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Users"
"Unable to login.","Unable to login."
"User Name","User Name"
"User Name is required field.","User Name is required field."
"Web Services","Web Services"
"WS-I Compliance","WS-I Compliance"
"Your account has been deactivated.","Your account has been deactivated."
