"* Required Fields","* Required Fields"
"-- No API Access --","-- No API Access --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"Admin","Admin"
"Admin API Access","Admin API Access"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"An error occurred.","An error occurred."
"An error occurred. Your authorization request is invalid.","An error occurred. Your authorization request is invalid."
"An error occurred on confirm authorize.","An error occurred on confirm authorize."
"An error occurred on delete action.","An error occurred on delete action."
"An error occurred on reject authorize.","An error occurred on reject authorize."
"An error occurred on saving consumer data.","An error occurred on saving consumer data."
"An error occurred on update revoke status.","An error occurred on update revoke status."
"An error occurred while deleting the consumer.","An error occurred while deleting the consumer."
"API Role","API Role"
"Application Name","Application Name"
"Assign an API role to grant permissions. Manage roles at System > Web Services > REST/GraphQL - Roles.","Assign an API role to grant permissions. Manage roles at System > Web Services > REST/GraphQL - Roles."
"Authorization confirmed","Authorization confirmed"
"Authorization confirmed.","Authorization confirmed."
"Authorize","Authorize"
"Authorize application","Authorize application"
"Authorized Tokens","Authorized Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Cleanup Probability"
"Cleanup Settings","Cleanup Settings"
"Close","Close"
"Confirmation Of Authorization","Confirmation Of Authorization"
"Confirm token authorization for admin","Confirm token authorization for admin"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Consumer Information","Consumer Information"
"Consumer Name","Consumer Name"
"Consumers","Consumers"
"Created At","Created At"
"Current Admin Password","Current Admin Password"
"Customer","Customer"
"Delete","Delete"
"deleted","deleted"
"Disable","Disable"
"Disabled","Disabled"
"Edit","Edit"
"Edit Consumer","Edit Consumer"
"Email","Email"
"Email Address","Email Address"
"Enable","Enable"
"Enabled","Enabled"
"enabled","enabled"
"Entry with ID #%s not found.","Entry with ID #%s not found."
"Expiration Period","Expiration Period"
"Expires","Expires"
"Expires At","Expires At"
"Give the verifier code to application administrator","Give the verifier code to application administrator"
"ID","ID"
"Invalid ID parameter.","Invalid ID parameter."
"Key","Key"
"Last Used","Last Used"
"Leave empty for no expiration","Leave empty for no expiration"
"Log In","Log In"
"Login","Login"
"Log in as admin","Log in as admin"
"Log in to use <strong>%s</strong>","Log in to use <strong>%s</strong>"
"My Applications","My Applications"
"Name","Name"
"New Consumer","New Consumer"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth authorization for admin","OAuth authorization for admin"
"OAuth authorization simple for admin","OAuth authorization simple for admin"
"OAuth Authorized Tokens","OAuth Authorized Tokens"
"OAuth Consumers","OAuth Consumers"
"Password","Password"
"Permissions","Permissions"
"Please login to proceed authorization.","Please login to proceed authorization."
"Please select needed row(s).","Please select needed row(s)."
"Please select revoke status.","Please select revoke status."
"Protocol","Protocol"
"Reject","Reject"
"Rejected Callback URL","Rejected Callback URL"
"Rejection Of Authorization","Rejection Of Authorization"
"Reject token authorization for admin","Reject token authorization for admin"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"REST - My Apps","REST - My Apps"
"REST - OAuth Authorized Tokens","REST - OAuth Authorized Tokens"
"REST - OAuth Consumers","REST - OAuth Consumers"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Role Name"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Secret","Secret"
"Selected entries enabled.","Selected entries enabled."
"Selected entries has been deleted.","Selected entries has been deleted."
"Selected entries revoked.","Selected entries revoked."
"Select stores this consumer can access. Leave empty for all stores.","Select stores this consumer can access. Leave empty for all stores."
"Status","Status"
"Store Access","Store Access"
"System","System"
"The application access request is rejected.","The application access request is rejected."
"The consumer has been deleted.","The consumer has been deleted."
"The consumer has been saved.","The consumer has been saved."
"Token Status Change","Token Status Change"
"Token Status Change Email Template","Token Status Change Email Template"
"Unable to find a consumer.","Unable to find a consumer."
"User ID","User ID"
"User Name","User Name"
"User Type","User Type"
"Verifier code: %s","Verifier code: %s"
