"""media/catalog/category"" folder does not exist.","""media/catalog/category"" folder does not exist."
"""media/catalog/product"" folder does not exist.","""media/catalog/product"" folder does not exist."
"""media/catalog/product/cache"" folder does not exist.","""media/catalog/product/cache"" folder does not exist."
"""media/wysiwyg"" folder does not exist.","""media/wysiwyg"" folder does not exist."
"%s was successfully flushed","%s was successfully flushed"
"Actions","Actions"
"Are you sure?","Are you sure?"
"Categories","Categories"
"Category","Category"
"CSV","CSV"
"Delete","Delete"
"Download","Download"
"Enable click on preview image to zoom it","Enable click on preview image to zoom it"
"Excel XML","Excel XML"
"File Name","File Name"
"Files/folders blacklist","Files/folders blacklist"
"Flush","Flush"
"ID","ID"
"Image","Image"
"Image not found.","Image not found."
"It was not possible to delete one or more files from the %s folder.","It was not possible to delete one or more files from the %s folder."
"It was not possible to delete one or more files from the filesystem.","It was not possible to delete one or more files from the filesystem."
"Media Cleaner","Media Cleaner"
"Never identify or delete files and folders in this list (wildcards allowed), one per line. Root dir is ""media"". Eg: ""wysiwyg/landing*/*.jpg"" or ""wysiwyg/images2021"" etc.","Never identify or delete files and folders in this list (wildcards allowed), one per line. Root dir is ""media"". Eg: ""wysiwyg/landing*/*.jpg"" or ""wysiwyg/images2021"" etc."
"Product","Product"
"Product Cache","Product Cache"
"Products","Products"
"Reset Results","Reset Results"
"Scan","Scan"
"System","System"
"Thumbnail size","Thumbnail size"
"Used in the admin preview grid.","Used in the admin preview grid."
"WYSIWYG","WYSIWYG"
