"Product Relationship Rules","Product Relationship Rules"
"Add New Rule","Add New Rule"
"Product Link Rules","Product Link Rules"
"Catalog","Catalog"
"This rule no longer exists.","This rule no longer exists."
"New Rule","New Rule"
"The rule has been saved.","The rule has been saved."
"The rule has been deleted.","The rule has been deleted."
"Please select rule(s).","Please select rule(s)."
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Are you sure?","Are you sure?"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save and Continue Edit","Save and Continue Edit"
"Edit Rule '%s'","Edit Rule '%s'"
"ID","ID"
"Rule Name","Rule Name"
"Link Type","Link Type"
"Priority","Priority"
"Status","Status"
"From Date","From Date"
"To Date","To Date"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Change status","Change status"
"Enabled","Enabled"
"Disabled","Disabled"
"Related Products","Related Products"
"Up-sell Products","Up-sell Products"
"Cross-sell Products","Cross-sell Products"
"Position (Default)","Position (Default)"
"Price: Low to High","Price: Low to High"
"Price: High to Low","Price: High to Low"
"Name: A-Z","Name: A-Z"
"Name: Z-A","Name: Z-A"
"Newest First","Newest First"
"Oldest First","Oldest First"
"Random","Random"
"Rule Information","Rule Information"
"Description","Description"
"Active","Active"
"Inactive","Inactive"
"Lower number = higher priority","Lower number = higher priority"
"Sort Order","Sort Order"
"Maximum Links","Maximum Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximum number of linked products per source product (leave empty for unlimited)"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Source Product Conditions","Source Product Conditions"
"Apply to products matching the following conditions (leave blank for all products)","Apply to products matching the following conditions (leave blank for all products)"
"Conditions","Conditions"
"Target Product Conditions","Target Product Conditions"
"Link to products matching the following conditions (leave blank for all products)","Link to products matching the following conditions (leave blank for all products)"
"Target Conditions","Target Conditions"
"Match Source Product","Match Source Product"
"matches source","matches source"
"does not match source","does not match source"
"Target product attribute will be compared to source product","Target product attribute will be compared to source product"
"Cron Schedule","Cron Schedule"
"Cron expression for rule processing. Default: <strong>0 * * * *</strong> (hourly). Examples: <strong>*/15 * * * *</strong> (every 15 minutes), <strong>0 2 * * *</strong> (daily at 2am).","Cron expression for rule processing. Default: <strong>0 * * * *</strong> (hourly). Examples: <strong>*/15 * * * *</strong> (every 15 minutes), <strong>0 2 * * *</strong> (daily at 2am)."
