"Action","Action"
"Action Type","Action Type"
"Activity ID","Activity ID"
"Activity Information","Activity Information"
"Activity Log","Activity Log"
"Activity log entry not found","Activity log entry not found"
"Admin Activity Log","Admin Activity Log"
"Back","Back"
"Configuration","Configuration"
"Configure Settings","Configure Settings"
"Create","Create"
"CSV","CSV"
"Data Changes","Data Changes"
"Date/Time","Date/Time"
"Days to Keep Logs","Days to Keep Logs"
"Delete","Delete"
"Enable Admin Activity Log","Enable Admin Activity Log"
"Entity","Entity"
"Entity ID","Entity ID"
"Entity Name","Entity Name"
"Entity Type","Entity Type"
"Excel XML","Excel XML"
"Failed","Failed"
"Failure Reason","Failure Reason"
"Full Name","Full Name"
"General Settings","General Settings"
"ID","ID"
"IP Address","IP Address"
"Log Delete Actions","Log Delete Actions"
"Log Failed Login Attempts","Log Failed Login Attempts"
"Login","Login"
"Login Activity","Login Activity"
"Log Login/Logout Activity","Log Login/Logout Activity"
"Log Mass Actions","Log Mass Actions"
"Logout","Logout"
"Log Page Visits","Log Page Visits"
"Log Save Actions","Log Save Actions"
"Mass Update","Mass Update"
"Number of days to keep activity logs. Set to 0 to keep forever.","Number of days to keep activity logs. Set to 0 to keep forever."
"Page Visit","Page Visit"
"Request URL","Request URL"
"Status","Status"
"Success","Success"
"System","System"
"Type","Type"
"Update","Update"
"URL","URL"
"Username","Username"
"View","View"
"View Activity Log","View Activity Log"
"View Activity Log Entry #%s","View Activity Log Entry #%s"
"View Login Activity","View Login Activity"
